Blur,Original,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TODO.started,TODO.stopped,baselineImage.started,baselineImage.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,RatingText.started,RatingText.stopped,ThanksText.started,ThanksText.stopped,id,participant,date,expName,psychopyVersion,frameRate,
image/1-blur.jpg,image/1-original.jpg,0,0,0,0,26.77976539998781,None,30.716601799998898,None,33.16647419999936,None,Yes,6.036,0.008643530003610067,None,37.849088799994206,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/2-blur.jpg,image/2-original.jpg,0,1,1,1,,,43.99589679999917,None,46.50967019998643,None,Yes,2.721,0.012568019999889657,None,51.165214699998614,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/3-blur.jpg,image/3-original.jpg,0,2,2,2,,,53.98197989999608,None,56.5252913999866,None,Yes,2.235,0.01456912001594901,None,61.17745219999051,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/4-blur.jpg,image/4-original.jpg,0,3,3,3,,,63.50671560000046,None,66.04479269999138,None,Yes,2.287,0.014720020000822842,None,70.69531859998824,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/5-blur.jpg,image/5-original.jpg,0,4,4,4,,,73.08011260000058,None,75.63248190000013,None,Yes,2.155,0.014759020006749779,None,80.28681989999313,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/6-blur.jpg,image/6-original.jpg,0,5,5,5,,,82.53102539999236,None,85.07867739998619,None,No,4.018,0.014256920010666363,None,89.73387219999859,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/7-blur.jpg,image/7-original.jpg,0,6,6,6,,,93.83237559998815,None,96.37758179999946,None,Yes,2.01,0.015159119997406378,None,101.0377346999885,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/8-blur.jpg,image/8-original.jpg,0,7,7,7,,,103.16004619999148,None,105.70797319999838,None,Yes,1.838,0.00039041000127326697,None,110.35851629999524,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/9-blur.jpg,image/9-original.jpg,0,8,8,8,,,112.28793849999784,None,114.81885109998984,None,Yes,1.915,0.014343920003739186,None,119.47453799999494,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
image/10-blur.jpg,image/10-original.jpg,0,9,9,9,,,121.48044189999928,None,124.00060039998789,None,Yes,2.014,0.0033508099877508357,None,128.64595919998828,None,,,02,Sajed,2020_Oct_11_2053,testScript1,3.2.3,59.94736621645226,
