Original,Scramble,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TODO.started,TODO.stopped,baselineImage.started,baselineImage.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,RatingText.started,RatingText.stopped,ThanksText.started,ThanksText.stopped,id*,participant*,Interested In(Men/Women)*,date,expName,psychopyVersion,frameRate,
women1/1-original.jpg,women1/1-scramble.jpg,0,0,0,0,16.8347916000057,None,17.9669309000019,None,20.031483999977354,None,No,1.934,0.005002980004064739,None,24.943342000013217,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/10-original.jpg,women1/10-scramble.jpg,0,1,1,1,,,27.023027499963064,None,29.115692899969872,None,Yes,2.069,0.00011583993909880519,None,33.907171899976674,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/11-original.jpg,women1/11-scramble.jpg,0,2,2,2,,,36.13154440000653,None,38.196902800002135,None,Yes,1.352,0.016008680046070367,None,43.09686380001949,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/12-original.jpg,women1/12-scramble.jpg,0,3,3,3,,,44.61886509996839,None,46.73846660001436,None,Yes,1.568,0.00013753992971032858,None,51.52127510000719,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/13-original.jpg,women1/13-scramble.jpg,0,4,4,4,,,53.27238959999522,None,55.41750719997799,None,Yes,1.685,0.005959239962976426,None,60.19186449999688,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/14-original.jpg,women1/14-scramble.jpg,0,5,5,5,,,62.062243499967735,None,64.21909119997872,None,No,1.654,0.0001927399425767362,None,68.99820530001307,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/15-original.jpg,women1/15-scramble.jpg,0,6,6,6,,,70.82209939998575,None,72.92866460001096,None,No,2.069,0.003434340003877878,None,77.70521719998214,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/16-original.jpg,women1/16-scramble.jpg,0,7,7,7,,,79.96147829998517,None,82.04904449998867,None,No,1.665,0.016531680012121797,None,86.8279549999861,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/17-original.jpg,women1/17-scramble.jpg,0,8,8,8,,,88.66010809998261,None,90.80281889997423,None,Yes,1.95,0.00034734001383185387,None,95.58964159997413,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/18-original.jpg,women1/18-scramble.jpg,0,9,9,9,,,97.72054299997399,None,99.84061869996367,None,Yes,1.246,0.004721639968920499,None,104.61472479999065,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/19-original.jpg,women1/19-scramble.jpg,0,10,10,10,,,106.0547865999979,None,108.14507889997913,None,Yes,1.445,0.016675279999617487,None,112.92460540001048,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/2-original.jpg,women1/2-scramble.jpg,0,11,11,11,,,114.50782940001227,None,116.61111980001442,None,No,1.187,0.00035703997127711773,None,121.50626940000802,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/20-original.jpg,women1/20-scramble.jpg,0,12,12,12,,,122.87409369996749,None,124.96076599997468,None,No,1.541,0.005785839923191816,None,129.73825310001848,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/21-original.jpg,women1/21-scramble.jpg,0,13,13,13,,,131.4615252999938,None,133.5708671999746,None,No,1.744,0.016081580019090325,None,138.34822019998683,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/22-original.jpg,women1/22-scramble.jpg,0,14,14,14,,,140.27573649998521,None,142.39206260000356,None,No,1.873,0.01661568006966263,None,147.17230999999447,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/23-original.jpg,women1/23-scramble.jpg,0,15,15,15,,,149.25988949998282,None,151.2169039999717,None,No,1.102,0.016619080037344247,None,156.11429990001488,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/24-original.jpg,women1/24-scramble.jpg,0,16,16,16,,,157.37638979998883,None,159.4698078999645,None,Yes,1.233,0.016570680018048733,None,164.25770839996403,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/25-original.jpg,women1/25-scramble.jpg,0,17,17,17,,,165.6669910000055,None,167.76618869998492,None,Yes,1.346,0.00859454000601545,None,172.5320091000176,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/26-original.jpg,women1/26-scramble.jpg,0,18,18,18,,,174.08602539997082,None,176.19460649997927,None,No,1.27,0.0162663800874725,None,180.98425979999593,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/27-original.jpg,women1/27-scramble.jpg,0,19,19,19,,,182.41546859999653,None,184.4971579000121,None,No,2.209,0.011782340006902814,None,189.38161909999326,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/28-original.jpg,women1/28-scramble.jpg,0,20,20,20,,,191.76959039998474,None,193.86162699997658,None,No,1.679,0.010001039947383106,None,198.63543359999312,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/29-original.jpg,women1/29-scramble.jpg,0,21,21,21,,,200.47336989996256,None,202.57240569998976,None,Yes,1.609,0.015804880007635802,None,207.46613989997422,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/3-original.jpg,women1/3-scramble.jpg,0,22,22,22,,,209.21388649998698,None,211.28472329996293,None,No,1.904,0.01664558006450534,None,216.17822399997385,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/30-original.jpg,women1/30-scramble.jpg,0,23,23,23,,,218.2485818999703,None,220.39410919998772,None,No,1.436,0.01656358002219349,None,225.17206449998775,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/31-original.jpg,women1/31-scramble.jpg,0,24,24,24,,,226.77762090001488,None,228.8727778000175,None,Yes,1.858,0.016641580034047365,None,233.6519474000088,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/32-original.jpg,women1/32-scramble.jpg,0,25,25,25,,,235.70107339997776,None,237.83486259996425,None,No,1.374,0.016603480034973472,None,242.6280407999875,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/33-original.jpg,women1/33-scramble.jpg,0,26,26,26,,,244.18010489997687,None,246.2761584999971,None,No,1.045,0.01633448008215055,None,251.06334100000095,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/4-original.jpg,women1/4-scramble.jpg,0,27,27,27,,,252.2531420000014,None,254.31235139997443,None,No,1.074,0.007560939993709326,None,259.20360920001986,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/5-original.jpg,women1/5-scramble.jpg,0,28,28,28,,,260.41498190001585,None,262.47475539997686,None,Yes,2.064,0.009998239984270185,None,267.35613119998015,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/6-original.jpg,women1/6-scramble.jpg,0,29,29,29,,,269.62107009999454,None,271.63594989996636,None,No,1.11,0.01652967999689281,None,276.53373159997864,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/7-original.jpg,women1/7-scramble.jpg,0,30,30,30,,,277.81289960001595,None,279.9091608999879,None,No,1.298,0.0011077399831265211,None,284.6841114999843,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/8-original.jpg,women1/8-scramble.jpg,0,31,31,31,,,286.14655279996805,None,288.2456200000015,None,Yes,1.298,0.01584058004664257,None,293.0250589000061,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
women1/9-original.jpg,women1/9-scramble.jpg,0,32,32,32,,,294.470980699989,None,296.5422250999836,None,No,1.066,0.008448839944321662,None,301.4282695999718,None,,,ram,ram,women,2020_Oct_27_1600,EYEswipe,3.2.3,59.739119268680014,
,,,,,,,,,,,,,,,,,,302.5116418999969,None,,,,,,,,
