Trial Number,State,Device timestamp,Left pupil diameter,Left pupil validity,Right pupil diameter,Right pupil validity,Rating
Trial1,baseline,15343237142,nan,0,nan,0,Yes
Trial1,baseline,15343753437,3.60223388671875,1,3.5671234130859375,1,Yes
Trial1,baseline,15344269733,3.9971466064453125,1,nan,0,Yes
Trial1,baseline,15344786028,4.4630889892578125,1,4.3971405029296875,1,Yes
Trial1,stimuli,15345418906,4.6008758544921875,1,nan,0,Yes
Trial1,stimuli,15345935201,4.4305267333984375,1,4.4152069091796875,1,Yes
Trial1,stimuli,15346451497,4.2661895751953125,1,4.178497314453125,1,Yes
Trial1,stimuli,15346967792,4.1569976806640625,1,nan,0,Yes
Trial1,stimuli,15347484087,4.261932373046875,1,4.207763671875,1,Yes
Trial1,stimuli,15348000383,4.306243896484375,1,4.2205657958984375,1,Yes
Trial1,stimuli,15348500023,4.32781982421875,1,4.1909027099609375,1,Yes
Trial1,stimuli,15349016318,4.314605712890625,1,4.2157440185546875,1,Yes
Trial1,stimuli,15349532614,4.2445220947265625,1,4.1495208740234375,1,Yes
Trial1,stimuli,15350048909,4.1931610107421875,1,4.06719970703125,1,Yes
