Trial Number,State,Device timestamp,Left pupil diameter,Left pupil validity,Right pupil diameter,Right pupil validity,Rating
Trial1,baseline,15123325610,3.465087890625,1,3.336212158203125,1,Yes
Trial1,baseline,15123858560,3.6357879638671875,1,3.51507568359375,1,Yes
Trial1,baseline,15124374856,3.9442291259765625,1,3.8898773193359375,1,Yes
Trial1,baseline,15124891151,nan,0,4.1092529296875,1,Yes
Trial1,stimuli,15125507374,4.005584716796875,1,4.21728515625,1,Yes
Trial1,stimuli,15126040324,4.0455169677734375,1,4.100494384765625,1,Yes
Trial1,stimuli,15126556620,3.867340087890625,1,nan,0,Yes
Trial1,stimuli,15127056260,4.17822265625,1,4.275482177734375,1,Yes
Trial1,stimuli,15127572556,4.355682373046875,1,nan,0,Yes
Trial1,stimuli,15128088851,4.4546051025390625,1,4.4865264892578125,1,Yes
Trial1,stimuli,15128605146,nan,0,4.4832916259765625,1,Yes
Trial1,stimuli,15129121441,4.3184051513671875,1,4.4445037841796875,1,Yes
Trial1,stimuli,15129621082,4.3501739501953125,1,4.33306884765625,1,Yes
Trial1,stimuli,15130137377,4.4094085693359375,1,4.404266357421875,1,Yes
