Trial Number,State,Device timestamp,Left pupil diameter,Left pupil validity,Right pupil diameter,Right pupil validity,Rating
Trial1,baseline,15256849926,3.630218505859375,1,3.5150604248046875,1,Yes
Trial1,baseline,15257382876,3.696075439453125,1,3.6190643310546875,1,Yes
Trial1,baseline,15257899172,4.2001800537109375,1,4.0847930908203125,1,Yes
Trial1,baseline,15258415467,nan,0,nan,0,Yes
Trial1,stimuli,15259031690,4.515960693359375,1,4.3739776611328125,1,Yes
Trial1,stimuli,15259547986,4.47320556640625,1,4.4200897216796875,1,Yes
Trial1,stimuli,15260064281,nan,0,4.3736572265625,1,Yes
Trial1,stimuli,15260580576,4.426025390625,1,4.3588409423828125,1,Yes
Trial1,stimuli,15261096872,4.2323150634765625,1,4.2872467041015625,1,Yes
Trial1,stimuli,15261613167,4.3138580322265625,1,4.297088623046875,1,Yes
Trial1,stimuli,15262129462,4.2992095947265625,1,4.24139404296875,1,Yes
Trial1,stimuli,15262645758,4.2645721435546875,1,4.181671142578125,1,Yes
Trial1,stimuli,15263145398,4.4024658203125,1,4.3475494384765625,1,Yes
Trial1,stimuli,15263661693,4.325775146484375,1,4.2200775146484375,1,Yes
